,user,condition,performance,stim,uid,gls_id,bin,code
243,17,ime,7116.125,4,17,0,2,2_4
244,17,ime,2511.5,5,17,0,2,2_5
245,17,ime,7701.45454545455,6,17,0,2,2_6
246,17,ime,5112.77777777778,7,17,0,2,2_7
247,17,ime,4198.63636363636,8,17,0,2,2_8
248,17,windows,14320.6,1,17,0,3,3_1
249,17,windows,11265.6666666667,2,17,0,3,3_2
250,17,windows,11995.5454545455,3,17,0,3,3_3
251,17,windows,10298.2222222222,4,17,0,3,3_4
252,17,windows,11847.6,5,17,0,3,3_5
253,17,windows,11125.875,6,17,0,3,3_6
254,17,windows,9023.3,7,17,0,3,3_7
255,17,windows,12494.6,8,17,0,3,3_8
256,19,baseline,3114.83333333333,1,19,2,0,0_1
257,19,baseline,3314.6,2,19,2,0,0_2
258,19,baseline,2760.22222222222,3,19,2,0,0_3
259,19,baseline,2682.8,4,19,2,0,0_4
260,19,baseline,3178.0,5,19,2,0,0_5
261,19,baseline,2646.33333333333,6,19,2,0,0_6
262,19,baseline,3228.66666666667,7,19,2,0,0_7
263,19,baseline,3598.3,8,19,2,0,0_8
264,19,windows,8948.33333333333,1,19,2,2,2_1
265,19,windows,12495.0,2,19,2,2,2_2
266,19,windows,8463.44444444445,3,19,2,2,2_3
267,19,windows,8542.75,4,19,2,2,2_4
268,19,windows,7544.625,5,19,2,2,2_5
269,19,windows,9244.09090909091,6,19,2,2,2_6
270,19,windows,6332.77777777778,7,19,2,2,2_7
271,19,windows,9818.81818181818,8,19,2,2,2_8
272,19,crulp,3954.5,1,19,2,3,3_1
273,19,crulp,7134.44444444444,2,19,2,3,3_2
274,19,crulp,8424.72727272727,3,19,2,3,3_3
275,19,crulp,6575.11111111111,4,19,2,3,3_4
276,19,crulp,7396.3,5,19,2,3,3_5
277,19,crulp,6160.75,6,19,2,3,3_6
278,19,crulp,5585.7,7,19,2,3,3_7
279,19,crulp,7426.3,8,19,2,3,3_8
280,19,ime,5867.3,1,19,2,1,1_1
281,19,ime,5005.625,2,19,2,1,1_2
282,19,ime,3532.7,3,19,2,1,1_3
283,19,ime,8403.09090909091,4,19,2,1,1_4
284,19,ime,5211.33333333333,5,19,2,1,1_5
285,19,ime,10189.75,6,19,2,1,1_6
286,19,ime,3464.0,7,19,2,1,1_7
287,19,ime,1850.0,8,19,2,1,1_8
288,21,baseline,3232.0,1,21,1,0,0_1
289,21,baseline,3364.0,2,21,1,0,0_2
290,21,baseline,2830.66666666667,3,21,1,0,0_3
291,21,baseline,3441.4,4,21,1,0,0_4
292,21,baseline,2769.33333333333,5,21,1,0,0_5
293,21,baseline,2954.77777777778,6,21,1,0,0_6
294,21,baseline,2761.0,7,21,1,0,0_7
295,21,baseline,5937.7,8,21,1,0,0_8
296,21,ime,9149.2,1,21,1,3,3_1
297,21,ime,9751.77777777778,2,21,1,3,3_2
298,21,ime,9600.63636363636,3,21,1,3,3_3
299,21,ime,6731.44444444444,4,21,1,3,3_4
300,21,ime,27711.1,5,21,1,3,3_5
301,21,ime,8351.25,6,21,1,3,3_6
302,21,ime,8593.2,7,21,1,3,3_7
303,21,ime,11105.3,8,21,1,3,3_8
304,21,windows,22431.3,1,21,1,1,1_1
305,21,windows,16197.875,2,21,1,1,1_2
306,21,windows,14918.2,3,21,1,1,1_3
307,21,windows,21963.7272727273,4,21,1,1,1_4
308,21,windows,24424.2222222222,5,21,1,1,1_5
309,21,windows,15009.375,6,21,1,1,1_6
310,21,windows,16380.7,7,21,1,1,1_7
311,21,windows,8286.0,8,21,1,1,1_8
312,21,crulp,4949.77777777778,1,21,1,2,2_1
313,21,crulp,4045.27272727273,2,21,1,2,2_2
314,21,crulp,2509.55555555556,3,21,1,2,2_3
315,21,crulp,3107.125,4,21,1,2,2_4
316,21,crulp,2308.375,5,21,1,2,2_5
317,21,crulp,5425.0,6,21,1,2,2_6
318,21,crulp,3964.0,7,21,1,2,2_7
319,21,crulp,3139.72727272727,8,21,1,2,2_8
320,23,baseline,1919.83333333333,1,23,1,0,0_1
321,23,baseline,1938.3,2,23,1,0,0_2
322,23,baseline,1743.66666666667,3,23,1,0,0_3
323,23,baseline,2038.7,4,23,1,0,0_4
324,23,baseline,2416.5,5,23,1,0,0_5
325,23,baseline,2002.55555555556,6,23,1,0,0_6
326,23,baseline,2079.66666666667,7,23,1,0,0_7
327,23,baseline,1910.1,8,23,1,0,0_8
328,23,ime,6576.2,1,23,1,3,3_1
329,23,ime,5154.0,2,23,1,3,3_2
330,23,ime,5373.72727272727,3,23,1,3,3_3
331,23,ime,4415.11111111111,4,23,1,3,3_4
332,23,ime,6313.7,5,23,1,3,3_5
333,23,ime,3580.375,6,23,1,3,3_6
334,23,ime,2882.6,7,23,1,3,3_7
335,23,ime,4199.9,8,23,1,3,3_8
336,23,windows,9410.5,1,23,1,1,1_1
337,23,windows,10032.625,2,23,1,1,1_2
338,23,windows,6966.4,3,23,1,1,1_3
339,23,windows,9391.90909090909,4,23,1,1,1_4
340,23,windows,10990.6666666667,5,23,1,1,1_5
341,23,windows,9334.375,6,23,1,1,1_6
342,23,windows,8471.3,7,23,1,1,1_7
343,23,windows,4945.0,8,23,1,1,1_8
344,23,crulp,7424.66666666667,1,23,1,2,2_1
345,23,crulp,7666.18181818182,2,23,1,2,2_2
346,23,crulp,5102.55555555556,3,23,1,2,2_3
347,23,crulp,5364.75,4,23,1,2,2_4
348,23,crulp,4559.0,5,23,1,2,2_5
349,23,crulp,6091.90909090909,6,23,1,2,2_6
